name,series,results_url
Durban,IRONMAN-70.3,https://www.ironman.com/im703-durban-results
Astana,IRONMAN-70.3,https://www.ironman.com/im703-astana-results
Middle East Championship Bahrain,IRONMAN-70.3,https://www.ironman.com/im703-bahrain-results
"Bangsaen, Thailand",IRONMAN-70.3,https://ironman.com/im703-bangsaen-results
Davao Philippines,IRONMAN-70.3,https://ironman.com/im703-davao-philippines-results
Desaru Coast,IRONMAN-70.3,https://ironman.com/im703-desaru-coast-results
Dubai,IRONMAN-70.3,https://www.ironman.com/im703-dubai-results
Goa,IRONMAN-70.3,https://ironman.com/im703-goa-results
Goseong,IRONMAN-70.3,https://ironman.com/im703-goseong-results
Langkawi,IRONMAN-70.3,https://ironman.com/im703-langkawi-results
Japan,IRONMAN-70.3,https://www.ironman.com/im703-japan-results
Oman,IRONMAN-70.3,https://www.ironman.com/im703-oman-results
Subic Bay,IRONMAN-70.3,https://ironman.com/im703-subic-bay-philippines-results
Türkiye,IRONMAN-70.3,https://www.ironman.com/im703-turkey-results
Viet Nam,IRONMAN-70.3,https://ironman.com/im703-vietnam-results
Aix-en-Provence,IRONMAN-70.3,https://www.ironman.com/im703-aix-en-provence-results
Alcúdia-Mallorca,IRONMAN-70.3,https://www.ironman.com/im703-mallorca-results
Portugal - Cascais,IRONMAN-70.3,https://www.ironman.com/im703-cascais-results
Elsinore,IRONMAN-70.3,https://www.ironman.com/im703-elsinore-results
Lahti,IRONMAN-70.3,https://www.ironman.com/im703-finland-results
Gdynia,IRONMAN-70.3,https://www.ironman.com/im703-gdynia-results
"Vouliagmeni, Greece",IRONMAN-70.3,https://www.ironman.com/im703-vouliagmeni-results
Italy Emilia-Romagna,IRONMAN-70.3,https://www.ironman.com/im703-emilia-romagna-results
Jonkoping,IRONMAN-70.3,https://www.ironman.com/im703-jonkoping-results
Kraichgau,IRONMAN-70.3,https://www.ironman.com/im703-kraichgau-results
Les Sables d'Olonne-Vendée,IRONMAN-70.3,https://www.ironman.com/im703-les-sables-dolonne-results
Luxembourg Remich-Région Moselle,IRONMAN-70.3,https://www.ironman.com/im703-luxembourg-results
Marbella,IRONMAN-70.3,https://www.ironman.com/im703-marbella-results
Nice,IRONMAN-70.3,https://www.ironman.com/im703-nice-results
Switzerland,IRONMAN-70.3,https://www.ironman.com/im703-switzerland-results
Vichy,IRONMAN-70.3,https://www.ironman.com/im703-vichy-results
Westfriesland,IRONMAN-70.3,https://www.ironman.com/im703-westfriesland-results
Weymouth,IRONMAN-70.3,https://www.ironman.com/im703-weymouth-results
Warsaw,IRONMAN-70.3,https://www.ironman.com/im703-warsaw-results
Zell am See-Kaprun,IRONMAN-70.3,https://www.ironman.com/im703-zell-am-see-results
Augusta,IRONMAN-70.3,https://ironman.com/im703-augusta-results
Boulder,IRONMAN-70.3,https://ironman.com/im703-boulder-results
Calgary,IRONMAN-70.3,https://ironman.com/im703-calgary-results
Chattanooga,IRONMAN-70.3,https://ironman.com/im703-chattanooga-results
Cozumel,IRONMAN-70.3,https://ironman.com/im703-cozumel-results
Eagleman,IRONMAN-70.3,https://ironman.com/im703-eagleman-results
Florida,IRONMAN-70.3,https://ironman.com/im703-florida-results
Gulf Coast,IRONMAN-70.3,https://ironman.com/im703-gulf-coast-results
Hawaii,IRONMAN-70.3,https://ironman.com/im703-hawaii-results
Indian Wells La Quinta,IRONMAN-70.3,https://ironman.com/im703-indian-wells-results
Los Cabos,IRONMAN-70.3,https://ironman.com/im703-los-cabos-results
Maine,IRONMAN-70.3,https://ironman.com/im703-maine-results
Mont Tremblant,IRONMAN-70.3,https://ironman.com/im703-mont-tremblant-results
Monterrey,IRONMAN-70.3,https://ironman.com/im703-monterrey-results
Muncie,IRONMAN-70.3,https://ironman.com/im703-muncie-results
Morro Bay,IRONMAN-70.3,https://www.ironman.com/im703-morro-bay-results
Muskoka,IRONMAN-70.3,https://ironman.com/im703-muskoka-results
North Carolina,IRONMAN-70.3,https://ironman.com/im703-north-carolina-results
Oceanside,IRONMAN-70.3,https://ironman.com/im703-oceanside-results
Ohio,IRONMAN-70.3,https://ironman.com/im703-ohio-results
Pennsylvania Happy Valley,IRONMAN-70.3,https://www.ironman.com/im703-pennsylvania-results
Puerto Rico,IRONMAN-70.3,https://ironman.com/im703-puerto-rico-results
Santa Cruz,IRONMAN-70.3,https://ironman.com/im703-santa-cruz-results
North American Championship St. George,IRONMAN-70.3,https://ironman.com/im703-st-george-results
Texas,IRONMAN-70.3,https://ironman.com/im703-texas-results
Michigan,IRONMAN-70.3,https://ironman.com/im703-michigan-results
Victoria,IRONMAN-70.3,https://ironman.com/im703-victoria-results
Waco,IRONMAN-70.3,https://ironman.com/im703-waco-results
Wisconsin,IRONMAN-70.3,https://ironman.com/im703-wisconsin-results
Cairns,IRONMAN-70.3,https://ironman.com/im703-cairns-results
Geelong,IRONMAN-70.3,https://ironman.com/im703-geelong-results
Port Macquarie,IRONMAN-70.3,https://ironman.com/im703-port-macquarie-results
Sunshine Coast,IRONMAN-70.3,https://ironman.com/im703-sunshine-coast-results
Taupo,IRONMAN-70.3,https://ironman.com/im703-taupo-results
Egypt,IRONMAN-70.3,https://www.ironman.com/im703-egypt-results
Western Sydney,IRONMAN-70.3,https://ironman.com/im703-western-sydney-results
Buenos Aires,IRONMAN-70.3,https://ironman.com/im703-buenos-aires-results
Cartagena,IRONMAN-70.3,https://ironman.com/im703-cartagena-results
Ecuador,IRONMAN-70.3,https://ironman.com/im703-ecuador-results
Florianópolis,IRONMAN-70.3,https://ironman.com/im703-florianopolis-results
Fortaleza,IRONMAN-70.3,https://ironman.com/im703-fortaleza-results
Maceió,IRONMAN-70.3,https://ironman.com/im703-maceio-results
Panama,IRONMAN-70.3,https://ironman.com/im703-panama-results
Pucon,IRONMAN-70.3,https://ironman.com/im703-pucon-results
Punta del Este,IRONMAN-70.3,https://ironman.com/im703-punta-del-este-results
Peru,IRONMAN-70.3,https://ironman.com/im703-peru-results
Rio de Janeiro,IRONMAN-70.3,https://ironman.com/im703-rio-de-janeiro-results
São Paulo,IRONMAN-70.3,https://ironman.com/im703-sao-paulo-results
European Championship Tallinn,IRONMAN-70.3,https://www.ironman.com/im703-tallinn-results
Duisburg,IRONMAN-70.3,https://www.ironman.com/im703-duisburg-results
Tasmania,IRONMAN-70.3,https://www.ironman.com/im703-tasmania-results
Musselman,IRONMAN-70.3,https://ironman.com/im703-musselman-results
Salalah,IRONMAN-70.3,https://www.ironman.com/im703-salalah-results
Venice-Jesolo,IRONMAN-70.3,https://www.ironman.com/im703-venice-jesolo-results
"Ireland, Cork",IRONMAN-70.3,https://www.ironman.com/im703-ireland-results
Kenting,IRONMAN-70.3,https://www.ironman.com/im703-kenting-results
Acapulco,IRONMAN-70.3,https://www.ironman.com/im703-acapulco-results
African Championship,IRONMAN,https://www.ironman.com/im-south-africa-results
California,IRONMAN,https://www.ironman.com/im-california-results
Arizona,IRONMAN,https://ironman.com/im-arizona-results
Australia,IRONMAN,https://ironman.com/im-australia-results
"Kärnten-Klagenfurt, Austria",IRONMAN,https://www.ironman.com/im-austria-results
Calella-Barcelona,IRONMAN,https://www.ironman.com/im-barcelona-results
Brazil,IRONMAN,https://ironman.com/im-brazil-results
Canada Penticton,IRONMAN,https://ironman.com/im-canada-results
Copenhagen,IRONMAN,https://www.ironman.com/im-copenhagen-results
European Championship Frankfurt,IRONMAN,https://www.ironman.com/im-frankfurt-results
France Nice,IRONMAN,https://www.ironman.com/im-france-results
Gurye,IRONMAN,https://ironman.com/im-gurye-results
European Championship Hamburg,IRONMAN,https://www.ironman.com/im-hamburg-results
Kalmar,IRONMAN,https://www.ironman.com/im-kalmar-results
Lake Placid,IRONMAN,https://ironman.com/im-lake-placid-results
Lanzarote,IRONMAN,https://www.ironman.com/im-lanzarote-results
Malaysia,IRONMAN,https://ironman.com/im-malaysia-results
Maryland,IRONMAN,https://ironman.com/im-maryland-results
Philippines,IRONMAN,https://ironman.com/im-philippines-results
Switzerland Thun,IRONMAN,https://www.ironman.com/im-switzerland-results
Taiwan,IRONMAN,https://ironman.com/im-taiwan-results
Tallinn,IRONMAN,https://www.ironman.com/im-tallinn-results
Vitoria-Gasteiz,IRONMAN,https://www.ironman.com/im-vitoria-results
Wales,IRONMAN,https://www.ironman.com/im-wales-results
Texas - North American Championship,IRONMAN,https://ironman.com/im-texas-results
Kazakhstan,IRONMAN,https://www.ironman.com/im-kazakhstan-results
"Finland, Kuopio-Tahko",IRONMAN,https://www.ironman.com/im-finland-results
Cervia,5150-Triathlon-Series,https://www.ironman.com/5150-cervia-results
Bohol,5150-Triathlon-Series,https://www.ironman.com/5150-bohol-results
Dapitan,5150-Triathlon-Series,https://www.ironman.com/5150-Dapitan-Philippines-results
Camsur,5150-Triathlon-Series,https://www.ironman.com/5150-camsur-results
Oregon,IRONMAN-70.3,https://ironman.com/im703-oregon-results
New Zealand,IRONMAN-70.3,https://ironman.com/im703-new-zealand-results
"Tiberias, Sea of Galilee",IRONMAN-70.3,https://www.ironman.com/im703-tiberias-results
Israel Middle East Championship,IRONMAN,https://www.ironman.com/im-israel-results
Dresden,IRONMAN-70.3,https://www.ironman.com/im703-dresden-results
Mossel Bay - African TriClub Championship,IRONMAN-70.3,https://www.ironman.com/im703-mossel-bay-results
Swansea,IRONMAN-70.3,https://www.ironman.com/im703-swansea-results
Erkner,IRONMAN-70.3,https://www.ironman.com/im703-erkner-results
World Championship - Men,IRONMAN,https://www.ironman.com/im-world-championship-kona-results
Western Australia,IRONMAN,https://ironman.com/im-western-australia-results
Melbourne,IRONMAN-70.3,https://www.ironman.com/im703-melbourne-results
Nelson Mandela Bay,IRONMAN-70.3,https://www.ironman.com/im703-nelson-mandela-bay-results
San Juan,IRONMAN-70.3,https://www.ironman.com/im703-san-juan-results
Porec,IRONMAN-70.3,https://www.ironman.com/im703-croatia-results
Tangier,IRONMAN-70.3,https://www.ironman.com/im703-tangier-results
Poznan,IRONMAN-70.3,https://www.ironman.com/im703-poznan-results
Rwanda,IRONMAN-70.3,https://www.ironman.com/im703-rwanda-results
Puerto Princesa,IRONMAN-70.3,https://www.ironman.com/im703-puerto-princesa-results
Des Moines,IRONMAN-70.3,https://www.ironman.com/im703-des-moines-results
"Knokke-Heist, Belgium",IRONMAN-70.3,https://www.ironman.com/im703-knokke-heist-results
Knokke-Heist,5150-Triathlon-Series,https://www.ironman.com/5150-knokke-heist-results
Western Massachusetts,IRONMAN-70.3,https://www.ironman.com/im703-western-massachusetts-results
World Championship - Women,IRONMAN,https://www.ironman.com/im-world-championship-nice-results
New York,IRONMAN-70.3,https://www.ironman.com/im703-new-york-results
Phu Quoc,IRONMAN-70.3,https://www.ironman.com/im703-Phu-quoc-results
Coeur d'Alene,IRONMAN-70.3,https://ironman.com/im703-coeur-dalene-results
Bolton,IRONMAN-70.3,https://ironman.com/im703-bolton-results
Lapu-Lapu,IRONMAN-70.3,https://www.ironman.com/im703-cebu-philippines-results
Campeche,IRONMAN-70.3,https://www.ironman.com/im703-campeche-results
Cap Cana,IRONMAN-70.3,https://www.ironman.com/im703-cap-cana-results
Louisville,IRONMAN-70.3,https://www.ironman.com/im703-louisville-results
Valencia,IRONMAN-70.3,https://www.ironman.com/im703-valencia-results
Valdivia,IRONMAN-70.3,https://www.ironman.com/im703-valdivia-results
Washington Tri-Cities,IRONMAN-70.3,https://www.ironman.com/im703-washington-tri-cities-results
Hradec Králové,IRONMAN-70.3,https://www.ironman.com/im703-hradec-kralove-results
"Belgrade, Serbia",IRONMAN-70.3,https://www.ironman.com/im703-belgrade-results
Japan South Hokkaido,IRONMAN,https://www.ironman.com/im-south-hokkaido-results
Salinas,5150-Triathlon-Series,https://www.ironman.com/5150-salinas-results
Canada,IRONMAN-70.3,https://www.ironman.com/im703-canada-results
Alaska,IRONMAN,https://www.ironman.com/im-alaska
Boulder ,IRONMAN,https://www.ironman.com/im-boulder
Canada-Whistler,IRONMAN,https://www.ironman.com/im-canada-whistler
China,IRONMAN,https://www.ironman.com/im-china
Haugesund,IRONMAN,https://www.ironman.com/im-haugesund
Indiana,IRONMAN,https://www.ironman.com/im-indiana
Korea - Jeju,IRONMAN,https://www.ironman.com/im-korea-jeju
Lake Tahoe,IRONMAN,https://www.ironman.com/im-lake-tahoe
Maastricht-Limburg,IRONMAN,https://www.ironman.com/im-maastricht-limburg
Mallorca,IRONMAN,https://www.ironman.com/im-mallorca
Pays d'Aix-en-Provence,IRONMAN,https://www.ironman.com/im-aix-en-provence
Regensburg,IRONMAN,https://www.ironman.com/im-regensburg
Switzerland Zurich,IRONMAN,https://www.ironman.com/im-switzerland-zurich
Santa Rosa,IRONMAN,https://www.ironman.com/im-santa-rosa
St. George,IRONMAN,https://www.ironman.com/im-st-george
Tulsa,IRONMAN,https://www.ironman.com/im-tulsa
UK,IRONMAN,https://www.ironman.com/im-uk
Aarhus,IRONMAN-70.3,https://www.ironman.com/im703-aarhus
Andorra,IRONMAN-70.3,https://www.ironman.com/im703-andorra
Antwerp,IRONMAN-70.3,https://www.ironman.com/im703-antwerp
Atlantic City,IRONMAN-70.3,https://www.ironman.com/im703-atlantic-city
Auckland,IRONMAN-70.3,https://www.ironman.com/im703-auckland
Austin,IRONMAN-70.3,https://www.ironman.com/im703-austin
Ballarat,IRONMAN-70.3,https://www.ironman.com/im703-ballarat
Barcelona,IRONMAN-70.3,https://www.ironman.com/im703-barcelona
Bariloche,IRONMAN-70.3,https://www.ironman.com/im703-bariloche
Bintan,IRONMAN-70.3,https://www.ironman.com/im703-bintan
Boise,IRONMAN-70.3,https://www.ironman.com/im703-boise
Branson,IRONMAN-70.3,https://www.ironman.com/im703-branson
Budapest,IRONMAN-70.3,https://www.ironman.com/im703-budapest
Busan,IRONMAN-70.3,https://www.ironman.com/im703-busan
Busselton,IRONMAN-70.3,https://www.ironman.com/im703-busselton
Colombo,IRONMAN-70.3,https://www.ironman.com/im703-colombo
Connecticut,IRONMAN-70.3,https://www.ironman.com/im703-connecticut
Coquimbo,IRONMAN-70.3,https://www.ironman.com/im703-coquimbo
Costa Rica ,IRONMAN-70.3,https://www.ironman.com/im703-costa-rica
Dublin,IRONMAN-70.3,https://www.ironman.com/im703-dublin
Dùn Laoghaire,IRONMAN-70.3,https://www.ironman.com/im703-dun-laoghaire
Edinburgh,IRONMAN-70.3,https://www.ironman.com/im703-edinburgh
Exmoor,IRONMAN-70.3,https://www.ironman.com/im703-exmoor
Foz do Iguaçu,IRONMAN-70.3,https://www.ironman.com/im703-foz-do-iguacu
Galway,IRONMAN-70.3,https://www.ironman.com/im703-galway
Graz,IRONMAN-70.3,https://im703-graz
"Greece, Costa Navarino",IRONMAN-70.3,https://www.ironman.com/im703-greece
Hefei,IRONMAN-70.3,https://www.ironman.com/im703-hefei
Incheon,IRONMAN-70.3,https://www.ironman.com/im703-incheon
Kansas,IRONMAN-70.3,https://www.ironman.com/im703-kansas
Lake Stevens,IRONMAN-70.3,https://www.ironman.com/im703-lake-stevens
Lombok,IRONMAN-70.3,https://www.ironman.com/im703-lombok
Lubbock,IRONMAN-70.3,https://www.ironman.com/im703-lubbock
Mandurah,IRONMAN-70.3,https://www.ironman.com/im703-mandurah
Marrakech,IRONMAN-70.3,https://www.ironman.com/im703-marrakech
Memphis,IRONMAN-70.3,http://im703-memphis
Miami,IRONMAN-70.3,https://www.ironman.com/im703-miami
Monaco,IRONMAN-70.3,https://www.ironman.com/im703-monaco
Mooseman,IRONMAN-70.3,https://www.ironman.com/im703-mooseman
New Orleans,IRONMAN-70.3,https://www.ironman.com/im703-new-orleans
Otepää,IRONMAN-70.3,https://www.ironman.com/im703-otepaa
Palmas,IRONMAN-70.3,https://www.ironman.com/im703-palmas
Pocono Mountains,IRONMAN-70.3,https://www.ironman.com/im703-pocono-mountains
Pula,IRONMAN-70.3,https://www.ironman.com/im703-pula
Putrajaya,IRONMAN-70.3,https://www.ironman.com/im703-putrajaya
Qujing ,IRONMAN-70.3,https://www.ironman.com/im703-qujing
Racine,IRONMAN-70.3,https://www.ironman.com/im703-racine
Raleigh,IRONMAN-70.3,https://www.ironman.com/im703-raleigh
Rhode Island,IRONMAN-70.3,https://www.ironman.com/im703-rhode-island
Ruegen,IRONMAN-70.3,https://www.ironman.com/im703-ruegen
Saipan,IRONMAN-70.3,https://www.ironman.com/im703-saipan
Sandnes,IRONMAN-70.3,https://www.ironman.com/im703-sandnes
Sardegna,IRONMAN-70.3,https://www.ironman.com/im703-sardegna
Silverman,IRONMAN-70.3,https://www.ironman.com/im703-silverman
Singapore,IRONMAN-70.3,https://www.ironman.com/im703-singapore
Slovenian Istria,IRONMAN-70.3,https://www.ironman.com/im703-slovenian-istria
St. Croix,IRONMAN-70.3,https://www.ironman.com/im703-st-croix
St. Petersburg,IRONMAN-70.3,https://www.ironman.com/im703-st-petersburg
Staffordshire,IRONMAN-70.3,https://www.ironman.com/im703-staffordshire
Steelhead,IRONMAN-70.3,https://www.ironman.com/im703-steelhead
Syracuse,IRONMAN-70.3,https://www.ironman.com/im703-syracuse
Superfrog,IRONMAN-70.3,https://www.ironman.com/im703-superfrog
Taitung,IRONMAN-70.3,https://www.ironman.com/im703-taitung
Timberman,IRONMAN-70.3,https://www.ironman.com/im703-timberman
Virginia Blue Ridge,IRONMAN-70.3,https://www.ironman.com/im703-virginia-blue-ridge
Washington,IRONMAN-70.3,https://www.ironman.com/im703-washington
Wiesbaden,IRONMAN-70.3,https://www.ironman.com/im703-wiesbaden
Yeppoon,IRONMAN-70.3,https://www.ironman.com/im703-yeppoon
Bela Bela,5150-Triathlon-Series,https://www.ironman.com/5150-bela-bela
Davao,5150-Triathlon-Series,https://www.ironman.com/5150-davao-philippines
Ekurhuleni,5150-Triathlon-Series,https://www.ironman.com/5150-ekurhuleni
Muscat,5150-Triathlon-Series,https://www.ironman.com/5150-muscat
Poreč,5150-Triathlon-Series,https://www.ironman.com/5150-croatia
SUPERSEAL,5150-Triathlon-Series,https://www.ironman.com/superseal-triathlon
Zürich,5150-Triathlon-Series,https://www.ironman.com/5150-zurich
